sample	Sample_Identifier	group	status	colony
N1A3-1	N1A3-S	5aza	sterile	N1
N1A3-3	N1A3-R	5aza	repro	N1
N1B2-1	N1B2-S	Control	sterile	N1
N1B2-2	N1B2-R	Control	repro	N1
N1C2-1	N1C2-R	6aza	repro	N1
N1C2-4	N1C2-S	6aza	sterile	N1
N3A2-1	N3A2-S	5aza	sterile	N3
N3A2-3	N3A2-R	5aza	repro	N3
N3B1-1	N3B1-S	Control	sterile	N3
N3B1-4	N3B1-R	Control	repro	N3
N3C2-4	N3C2-S	6aza	sterile	N3
N3C2-5	N3C2-R	6aza	repro	N3
N4A4-3	N4A4-R	5aza	repro	N4
N4A4-5	N4A4-S	5aza	sterile	N4
N4B4-2	N4B4-S	Control	sterile	N4
N4B4-3	N4B4-R	Control	repro	N4
N4C2-2	N4C2-R	6aza	repro	N4
N4C2-4	N4C2-S	6aza	sterile	N4
N6A3-2	N6A3-S	5aza	sterile	N6
N6A3-4	N6A3-R	5aza	repro	N6
N6B3-3	N6B3-R	Control	repro	N6
N6B3-4	N6B3-S	Control	sterile	N6
N6C1-1	N6C1-S	6aza	sterile	N6
N6C1-5	N6C1-R	6aza	repro	N6
N7A2-1	N7A2-S	5aza	sterile	N7
N7A2-5	N7A2-R	5aza	repro	N7
N7B2-1	N7B2-S	Control	sterile	N7
N7B2-2	N7B2-R	Control	repro	N7
N7C1-3	N7C1-R	6aza	repro	N7
N7C3-3	N7C3-S	6aza	sterile	N7
N8A2-3	N8A2-R	5aza	repro	N8
N8A2-4	N8A2-S	5aza	sterile	N8
N8B1-1	N8B1-S	Control	sterile	N8
N8B1-3	N8B1-R	Control	repro	N8
N8C3-3	N8C3-R	6aza	sterile	N8
N8C3-5	N8C3-S	6aza	repro	N8
